,word,prob_change,category,eID,rank
0,adds,0.6564415097236633,verbatim_repeat,0.0,1.0
1,added,0.031191039830446243,sem_synF,0.0,2.0
2,does,0.021223196759819984,semF_syn,0.0,3.0
3,add,0.020112736150622368,sem_synF,0.0,4.0
4,#add,0.009639807976782322,sem_synF,0.0,5.0
5,also,0.009083649143576622,semF_synF,0.0,6.0
6,contains,0.8992210626602173,verbatim_repeat,1.0,1.0
7,includes,0.01660224050283432,sem_syn,1.0,2.0
8,contain,0.01372397318482399,sem_synF,1.0,3.0
9,consists,0.004657516721636057,sem_synF,1.0,4.0
10,contained,0.0028243877459317446,sem_synF,1.0,5.0
11,holds,0.0010213489877060056,sem_syn,1.0,6.0
12,increases,0.9736104607582092,verbatim_repeat,2.0,1.0
13,decreases,0.0029810748528689146,semR_syn,2.0,2.0
14,enhances,0.0020767084788531065,sem_syn,2.0,3.0
15,rises,0.0012857549590989947,sem_syn,2.0,4.0
16,improves,0.001137077109888196,semR_syn,2.0,5.0
17,strengthens,0.0007995659252628684,sem_syn,2.0,6.0
18,have,0.9474972486495972,verbatim_repeat,3.0,1.0
19,has,0.010497371666133404,sem_synF,3.0,2.0
20,#have,0.006531848572194576,sem_synF,3.0,3.0
21,had,0.002536662621423602,sem_synF,3.0,4.0
22,Have,0.00142938073258847,sem_synF,3.0,5.0
23,are,0.0010404210770502687,semF_syn,3.0,6.0
24,include,0.823289155960083,verbatim_repeat,4.0,1.0
25,includes,0.07816419750452042,sem_synF,4.0,2.0
26,involve,0.011170383542776108,sem_syn,4.0,3.0
27,involves,0.0036517346743494272,sem_synF,4.0,4.0
28,including,0.0027880421839654446,sem_synF,4.0,5.0
29,includ,0.0024038041010499,sem_synF,4.0,6.0
30,creates,0.9634913206100464,verbatim_repeat,5.0,1.0
31,generates,0.009303891099989414,sem_syn,5.0,2.0
32,#creat,0.006914356257766485,other,5.0,3.0
33,produces,0.00616085110232234,sem_syn,5.0,4.0
34,create,0.0011520315892994404,sem_synF,5.0,5.0
35,creating,0.0010590128367766738,sem_synF,5.0,6.0
36,includes,0.9486146569252014,verbatim_repeat,6.0,1.0
37,#includes,0.010323794558644295,sem_synF,6.0,2.0
38,included,0.007873522117733955,sem_synF,6.0,3.0
39,includ,0.006229673977941275,sem_synF,6.0,4.0
40,include,0.0038020566571503878,sem_synF,6.0,5.0
41,including,0.0024687773548066616,sem_synF,6.0,6.0
42,shape,0.786629855632782,verbatim_repeat,7.0,1.0
43,form,0.0683698058128357,sem_syn,7.0,2.0
44,#shape,0.010585025884211063,sem_synF,7.0,3.0
45,shapes,0.0053222994320094585,sem_synF,7.0,4.0
46,shaped,0.003999556414783001,sem_synF,7.0,5.0
47,",",0.003997533582150936,semF_synF,7.0,6.0
48,illustrate,0.8511055111885071,verbatim_repeat,8.0,1.0
49,illustrates,0.03065131977200508,sem_synF,8.0,2.0
50,demonstrate,0.021591203287243843,sem_syn,8.0,3.0
51,show,0.009111611172556877,sem_syn,8.0,4.0
52,exempl,0.0033448124304413795,semF_syn,8.0,5.0
53,depict,0.0030414508655667305,sem_syn,8.0,6.0
54,has,0.7547339200973511,verbatim_repeat,9.0,1.0
55,bears,0.001270141452550888,sem_syn,9.0,2.0
56,contains,0.0008981103310361505,sem_syn,9.0,3.0
57,#has,0.0008659212035126984,sem_synF,9.0,4.0
58,carries,0.000859396590385586,sem_syn,9.0,5.0
59,#',0.000662622507661581,semF_synF,9.0,6.0
60,keep,0.9163094758987427,verbatim_repeat,10.0,1.0
61,keeps,0.018072033300995827,sem_synF,10.0,2.0
62,stay,0.003812396200373769,semF_syn,10.0,3.0
63,kept,0.0030845317523926497,sem_synF,10.0,4.0
64,don,0.0019894554279744625,other,10.0,5.0
65,maintain,0.0018461800646036863,sem_syn,10.0,6.0
66,form,0.8377886414527893,verbatim_repeat,11.0,1.0
67,forms,0.020692961290478706,sem_synF,11.0,2.0
68,formed,0.008373613469302654,sem_synF,11.0,3.0
69,#form,0.005663609132170677,sem_synF,11.0,4.0
70,is,0.004623055458068848,sem_synF,11.0,5.0
71,constitute,0.002456564921885729,sem_syn,11.0,6.0
72,portray,0.8489065170288086,verbatim_repeat,12.0,1.0
73,depict,0.14620904624462128,sem_syn,12.0,2.0
74,depiction,0.00022176503262016922,sem_synF,12.0,3.0
75,portrayed,0.00018849967455025762,sem_synF,12.0,4.0
76,portrays,0.00017204789037350565,sem_synF,12.0,5.0
77,depicts,0.00012974214041605592,sem_synF,12.0,6.0
78,demands,0.9449378252029419,verbatim_repeat,13.0,1.0
79,requires,0.028967229649424553,sem_syn,13.0,2.0
80,demanded,0.0027856635861098766,sem_synF,13.0,3.0
81,demand,0.0026523303240537643,sem_synF,13.0,4.0
82,#requires,0.0010032870341092348,sem_synF,13.0,5.0
83,demanding,0.000837437401060015,sem_synF,13.0,6.0
84,possesses,0.395084410905838,verbatim_repeat,14.0,1.0
85,has,0.07862310856580734,sem_syn,14.0,2.0
86,possessed,0.06938781589269638,sem_synF,14.0,3.0
87,is,0.03297819942235947,upcoming_word,14.0,4.0
88,contains,0.015870552510023117,semR_syn,14.0,5.0
89,does,0.01110522635281086,semF_syn,14.0,6.0
90,reflect,0.9900817275047302,verbatim_repeat,15.0,1.0
91,reflects,0.0030203175265341997,sem_synF,15.0,2.0
92,reflecting,0.00036461622221395373,sem_synF,15.0,3.0
93,reflected,0.00019493962463457137,sem_synF,15.0,4.0
94,#reflect,0.0001001719938358292,sem_synF,15.0,5.0
95,express,6.405432941392064e-05,semF_syn,15.0,6.0
96,persist,0.9942034482955933,verbatim_repeat,16.0,1.0
97,persists,0.0006672374438494444,sem_synF,16.0,2.0
98,persisted,0.000639938865788281,sem_synF,16.0,3.0
99,continue,0.0005956481909379363,semR_syn,16.0,4.0
